Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,94.7892,NA,3.90100000000000,4.17560000000000,0.00000000000000,0.21350000000000,3.5335,90.8882,3.9010,3.9010,0.0000,0.2281,3.8864,0.3532,3.5332,0.2574,90.8882,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,99.3883,NA,4.59910000000000,4.16340000000000,0.00000000000000,0.15060000000000,3.0978,94.7892,4.5991,4.5991,0.0000,0.2135,4.5362,0.3701,4.1661,-0.2624,94.7892,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,103.2985,NA,3.91020000000000,4.15970000000000,0.00000000000000,0.18210000000000,3.3473,99.3883,3.9102,3.9102,0.0000,0.1506,3.9417,0.3617,3.5800,0.4394,99.3883,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,107.3513,NA,4.05280000000000,4.16850000000000,0.00000000000000,0.18640000000000,3.4630,103.2985,4.0528,4.0528,0.0000,0.1821,4.0571,0.3460,3.7111,-0.2583,103.2985,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,111.6579,NA,4.30660000000000,4.16350000000000,0.00000000000000,0.15590000000000,3.3199,107.3513,4.3066,4.3066,0.0000,0.1864,4.2761,0.3752,3.9009,-0.1107,107.3513,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,115.9257,NA,4.26780000000000,4.16890000000000,0.00000000000000,0.22770000000000,3.2210,111.6579,4.2678,4.2678,0.0000,0.1559,4.3396,0.3991,3.9405,0.1377,111.6579,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,119.8345,NA,3.90880000000000,4.15980000000000,0.00000000000000,0.19220000000000,3.4720,115.9257,3.9088,3.9088,0.0000,0.2277,3.8733,0.3372,3.5361,0.1080,115.9257,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,124.3020,NA,4.46750000000000,4.18130000000000,0.00000000000000,0.18380000000000,3.1858,119.8345,4.4675,4.4675,0.0000,0.1922,4.4591,0.3507,4.1084,-0.2725,119.8345,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,128.1611,NA,3.85910000000000,4.16100000000000,0.00000000000000,0.19400000000000,3.4877,124.3020,3.8591,3.8591,0.0000,0.1838,3.8693,0.3615,3.5078,0.3065,124.3020,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,132.4449,NA,4.28380000000000,4.15820000000000,0.00000000000000,0.21060000000000,3.3621,128.1611,4.2838,4.2838,0.0000,0.1940,4.3004,0.3673,3.9331,-0.2991,128.1611,NA,NA,NA
